latency_rank,architecture,family,params_M,model_size_MB_fp32,macs_G,flops_G,latency_mean_ms,latency_std_ms,latency_p95_ms,throughput_fps,energy_proxy_J_constant_power,edp_proxy_J_s_constant_power,measurement_type
1,global_avg_mlp_tiny,mlp,0.065256,0.248932,6.4e-05,0.000128,0.025604,0.000332,0.026164,39056.143206,0.000135702,3.475e-09,direct_latency_repeated_trials
2,patch_mixer_small,mixer,0.223856,0.853943,0.020937,0.041874,0.465053,0.032807,0.527598,2150.293472,0.00246478,1.146253e-06,direct_latency_repeated_trials
3,patch_mixer_medium,mixer,0.435124,1.659866,0.050673,0.101347,0.791506,0.044346,0.866006,1263.415046,0.004194979,3.320349e-06,direct_latency_repeated_trials
4,cnn_tiny_2conv,plain_cnn,0.038136,0.145477,0.019902,0.039803,0.793063,0.022847,0.835853,1260.934615,0.004203231,3.333425e-06,direct_latency_repeated_trials
5,cnn_small_4conv,plain_cnn,0.111832,0.426605,0.084962,0.169924,1.306279,0.041165,1.375277,765.533166,0.006923279,9.043735e-06,direct_latency_repeated_trials
6,depthwise_small,depthwise_cnn,0.053152,0.202759,0.011639,0.023277,1.446362,0.038998,1.508425,691.389623,0.007665721,1.1087411e-05,direct_latency_repeated_trials
7,grouped_conv_cnn,grouped_cnn,0.154312,0.588654,0.085628,0.171256,1.924171,0.122573,2.137498,519.704393,0.010198105,1.9622896e-05,direct_latency_repeated_trials
8,depthwise_medium,depthwise_cnn,0.111544,0.425507,0.025046,0.050092,1.997728,0.102029,2.1114,500.568713,0.010587957,2.1151855e-05,direct_latency_repeated_trials
9,attention_gate_cnn,attention_cnn,0.178832,0.68219,0.263018,0.526036,2.372775,0.032146,2.427623,421.447444,0.012575708,2.9839327e-05,direct_latency_repeated_trials
10,cnn_medium_6conv,plain_cnn,0.481984,1.838623,0.373136,0.746273,2.416447,0.048619,2.496727,413.830696,0.01280717,3.0947849e-05,direct_latency_repeated_trials
11,squeeze_expand_cnn,squeeze_cnn,0.173272,0.66098,0.298342,0.596684,3.114371,0.049752,3.219158,321.092138,0.016506166,5.1406321e-05,direct_latency_repeated_trials
12,residual_cnn_small,residual_cnn,0.177032,0.675323,0.531127,1.062254,3.331222,0.125547,3.484415,300.190122,0.017655478,5.8814319e-05,direct_latency_repeated_trials
13,inverted_residual_small,inverted_residual,0.080392,0.306671,0.139587,0.279175,3.366496,0.063869,3.46265,297.044779,0.017842428,6.0066458e-05,direct_latency_repeated_trials
14,bottleneck_residual,bottleneck_cnn,0.227176,0.866608,0.362198,0.724396,3.480165,0.089738,3.639142,287.342673,0.018444876,6.4191218e-05,direct_latency_repeated_trials
15,inverted_residual_wide,inverted_residual,0.166856,0.636505,0.405887,0.811775,6.738974,0.091084,6.858404,148.390552,0.03571656,0.000240692951,direct_latency_repeated_trials
16,residual_cnn_medium,residual_cnn,0.514264,1.961761,1.707084,3.414167,6.848424,1.184632,8.530606,146.019003,0.036296646,0.000248574808,direct_latency_repeated_trials
17,convnext_micro,convnext_like,0.23956,0.913849,0.224099,0.448198,7.554169,0.167135,7.793381,132.377229,0.040037097,0.000302447014,direct_latency_repeated_trials
